fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.12,0.13,0.61,6.27,0.021,67.9,83.8,1.00158,3.84,0.41,8.19,5
14.46,1.46,0.14,2.12,0.055,54.5,61.6,0.99298,3.55,0.94,11.82,5
12.05,1.27,0.29,1.12,0.013,65.8,167.5,0.99008,3.2,0.98,9.89,8
10.59,0.4,0.37,9.51,0.092,62.7,77.8,1.00223,2.88,0.81,11.05,6
5.72,0.35,0.46,9.67,0.033,42.3,63.4,1.0006,3.17,0.99,13.45,4
5.72,0.36,0.79,8.18,0.07,64.6,113.1,1.00094,3.19,0.74,9.5,4
4.64,0.53,0.2,3.39,0.038,7.1,36.8,1.00157,3.68,0.77,10.46,7
13.53,0.83,0.51,1.43,0.057,14.5,162.4,0.99111,3.57,0.68,12.53,8
10.61,0.7,0.59,7.0,0.059,4.1,24.2,0.99538,3.86,0.32,9.37,3
11.79,0.51,0.05,4.68,0.027,23.4,197.5,0.99174,3.37,0.4,8.46,7
